artifact,task,condition,relation,dose,seed,n_test,n_affected,n_control,affected_delta_mean,control_delta_mean,did,affected_win_rate,control_win_rate,linear_affected_coef,did_label_adjusted,did_label_equal,n_labels_adjusted
phase0_gru_bbbp_stereo_changed_aff82_d20_lowtrain05,bbbp,random_20x,random,20,491,204,82,122,-0.00448213173530814,-0.00201800925901434,-0.0024641224762938004,0.4634146341463415,0.6311475409836066,0.021567905449902766,0.03696587822862597,0.04014631577474026,2
phase0_gru_bbbp_stereo_changed_aff82_d20_lowtrain05,bbbp,random_20x,random,20,509,204,82,122,0.0009213795930874142,-0.00025308944407055747,0.0011744690371579716,0.7317073170731707,0.6475409836065574,0.010366134692168242,0.005272158535151931,0.00421935616021935,2
phase0_gru_bbbp_stereo_changed_aff82_d20_lowtrain05,bbbp,random_20x,random,20,541,204,82,122,0.001498084242750959,-0.003972866038074261,0.00547095028082522,0.5609756097560976,0.22950819672131148,0.00731314036941871,0.012755176947980089,0.013912412315788103,2
phase0_gru_bbbp_stereo_changed_aff82_d20_lowtrain05,bbbp,random_20x,random,20,563,204,82,122,0.0015203243166935106,-0.0026948068550497807,0.004215131171743291,0.5121951219512195,0.2540983606557377,-0.0037986697441212726,-0.0038381131830179916,-0.0039273832190004875,2
phase0_gru_bbbp_stereo_changed_aff82_d20_lowtrain05,bbbp,stereo_20x,stereo,20,307,204,82,122,0.004778949225821144,-0.002400746538502264,0.007179695764323408,0.7804878048780488,0.45081967213114754,0.007052717104893456,0.008725621617080435,0.009219753972366289,2
phase0_gru_bbbp_stereo_changed_aff82_d20_lowtrain05,bbbp,stereo_20x,stereo,20,331,204,82,122,-0.14623800851404672,0.023793502542816227,-0.17003151105686296,0.2804878048780488,0.36885245901639346,-0.08646713766322228,-0.21166536105550277,-0.2348664527570302,2
phase0_gru_bbbp_stereo_changed_aff82_d20_lowtrain05,bbbp,stereo_20x,stereo,20,353,204,82,122,0.002522511180581114,0.0004767641944230622,0.002045746986158052,0.7560975609756098,0.7049180327868853,0.0027038139694380275,-0.0005771286523345508,-0.0015297460303660484,2
phase0_gru_bbbp_stereo_changed_aff82_d20_lowtrain05,bbbp,stereo_20x,stereo,20,379,204,82,122,-0.0016735052553618732,-0.0018696335495495381,0.00019612829418766495,0.35365853658536583,0.13934426229508196,0.0006424436119039818,-0.0025083359278578877,-0.003278592841126646,2
phase0_gru_bbbp_stereo_changed_aff82_d20_lowtrain05,bbbp,stereo_20x,stereo,20,401,204,82,122,0.013655926850510806,0.012312301602519926,0.0013436252479908806,0.6219512195121951,0.860655737704918,0.002337039936436594,0.005811357172722317,0.007908115426951558,2
phase0_gru_bbbp_stereo_changed_aff82_d20_lowtrain05,bbbp,stereo_20x,stereo,20,421,204,82,122,0.007550520970054518,0.001905880334069503,0.005644640635985016,0.6829268292682927,0.4098360655737705,-0.0016544410683463177,-0.0010310153952536461,-0.0010237487933059594,2
phase0_gru_bbbp_stereo_changed_aff82_d20_lowtrain05,bbbp,stereo_20x,stereo,20,443,204,82,122,-0.003334854070733235,-0.0011366010933626005,-0.0021982529773706344,0.34146341463414637,0.1885245901639344,-0.002000096538189262,-0.006536865927669941,-0.007628797009127567,2
phase0_gru_bbbp_stereo_changed_aff82_d20_lowtrain05,bbbp,stereo_20x,stereo,20,467,204,82,122,-0.006386468959290812,0.00021093290635064058,-0.006597401865641453,0.4268292682926829,0.47540983606557374,0.002414043788179082,0.0014389913265179612,0.0009157888412677923,2
phase0_gru_bbbp_stereo_changed_aff82_d20_lowtrain05,bbbp,stereo_20x,stereo,20,491,204,82,122,0.005199184743460362,-0.00250732126172448,0.007706506005184842,0.6951219512195121,0.47540983606557374,0.0038214793908985557,0.013524191551452848,0.01542752488245998,2
phase0_gru_bbbp_stereo_changed_aff82_d20_lowtrain05,bbbp,stereo_20x,stereo,20,509,204,82,122,0.0014126822579561258,-0.0008049551855589538,0.0022176374435150794,0.6585365853658537,0.5245901639344263,-0.0011112683058090485,0.0040905623915636225,0.005199259069831869,2
phase0_gru_bbbp_stereo_changed_aff82_d20_lowtrain05,bbbp,stereo_20x,stereo,20,541,204,82,122,-0.0036901526334809126,-0.007764747060957506,0.004074594427476593,0.3902439024390244,0.13934426229508196,-0.004295830678179553,-0.0061421233779322066,-0.00661945456388242,2
phase0_gru_bbbp_stereo_changed_aff82_d20_lowtrain05,bbbp,stereo_20x,stereo,20,563,204,82,122,0.0011897742203096097,-0.001487583296037602,0.0026773575163472115,0.5,0.20491803278688525,-0.007794343515061357,-0.007810409537551635,-0.007877040144329144,2
