artifact,task,condition,relation,dose,seed,n_test,n_affected,n_control,affected_delta_mean,control_delta_mean,did,affected_win_rate,control_win_rate,linear_affected_coef,did_label_adjusted,did_label_equal,n_labels_adjusted
phase0_gin_bbbp_stereo_changed_aff82_d20_lowtrain05,bbbp,random_20x,random,20,541,204,82,122,0.05676784439057839,-0.033174092011129266,0.08994193640170765,0.6463414634146342,0.38524590163934425,0.013384792575205529,0.04200046105931203,0.04706408266291336,2
phase0_gin_bbbp_stereo_changed_aff82_d20_lowtrain05,bbbp,random_20x,random,20,563,204,82,122,0.011422076058097008,-0.028040224350378163,0.03946230040847517,0.5,0.14754098360655737,0.016147845086649112,0.01149175968778327,0.011746105270924508,2
phase0_gin_bbbp_stereo_changed_aff82_d20_lowtrain05,bbbp,stereo_20x,stereo,20,307,204,82,122,-0.03858324926255681,-0.02487337190779996,-0.013709877354756851,0.24390243902439024,0.319672131147541,0.01901601153812091,-0.10664541686314426,-0.1170531627169342,2
phase0_gin_bbbp_stereo_changed_aff82_d20_lowtrain05,bbbp,stereo_20x,stereo,20,331,204,82,122,0.04433572346844324,-0.0454030626865684,0.08973878615501164,0.7560975609756098,0.5819672131147541,0.04002538383515941,0.024195941188493136,0.020368333293698124,2
phase0_gin_bbbp_stereo_changed_aff82_d20_lowtrain05,bbbp,stereo_20x,stereo,20,353,204,82,122,-0.039307027101153275,0.05190168473808493,-0.0912087118392382,0.25609756097560976,0.47540983606557374,0.0033387795745607463,-0.04314227210852014,-0.04693327325531249,2
phase0_gin_bbbp_stereo_changed_aff82_d20_lowtrain05,bbbp,stereo_20x,stereo,20,379,204,82,122,-0.043857944720401984,-0.029512866323844325,-0.014345078396557659,0.32926829268292684,0.22950819672131148,-0.008577506518572864,-0.044992158762802256,-0.05248093926481273,2
phase0_gin_bbbp_stereo_changed_aff82_d20_lowtrain05,bbbp,stereo_20x,stereo,20,401,204,82,122,-0.12322373206659061,0.001555341097419376,-0.12477907316400999,0.24390243902439024,0.3442622950819672,-0.037851890390938725,-0.11501530027505721,-0.12593298285244606,2
phase0_gin_bbbp_stereo_changed_aff82_d20_lowtrain05,bbbp,stereo_20x,stereo,20,421,204,82,122,-0.07787213201929884,0.05016082841292268,-0.1280329604322215,0.25609756097560976,0.3114754098360656,-0.03764563857965275,-0.15463217836477725,-0.1705159576053683,2
phase0_gin_bbbp_stereo_changed_aff82_d20_lowtrain05,bbbp,stereo_20x,stereo,20,443,204,82,122,-0.1378851603353169,0.06861272023715932,-0.2064978805724762,0.2073170731707317,0.319672131147541,0.021594789949789417,-0.17409472469190868,-0.18746013360465652,2
phase0_gin_bbbp_stereo_changed_aff82_d20_lowtrain05,bbbp,stereo_20x,stereo,20,467,204,82,122,-0.015432524381250883,-0.03428606765314203,0.01885354327189115,0.32926829268292684,0.36065573770491804,0.011008042161267516,0.004439891291216425,0.0029358256712490576,2
phase0_gin_bbbp_stereo_changed_aff82_d20_lowtrain05,bbbp,stereo_20x,stereo,20,491,204,82,122,0.08973040990531447,-0.035664907183314935,0.12539531708862942,0.7804878048780488,0.7540983606557377,0.12918469637728425,0.0904385234777873,0.09212333906381925,2
phase0_gin_bbbp_stereo_changed_aff82_d20_lowtrain05,bbbp,stereo_20x,stereo,20,509,204,82,122,0.030757687463447803,0.04377605404216248,-0.013018366578714673,0.45121951219512196,0.36885245901639346,-0.021791305749342828,-0.07981960507624639,-0.08272690104555573,2
phase0_gin_bbbp_stereo_changed_aff82_d20_lowtrain05,bbbp,stereo_20x,stereo,20,541,204,82,122,0.052285313265534435,0.05829528682544583,-0.006009973559911397,0.6829268292682927,0.8032786885245902,0.051223086934807094,0.1086310823589112,0.12028596219246934,2
phase0_gin_bbbp_stereo_changed_aff82_d20_lowtrain05,bbbp,stereo_20x,stereo,20,563,204,82,122,0.09106577087829754,-0.04442191130069435,0.13548768217899188,0.7073170731707317,0.5,0.03659240613695891,0.1389011124827667,0.15196956443525864,2
