artifact,task,condition,relation,dose,seed,n_test,n_affected,n_control,affected_delta_mean,control_delta_mean,did,affected_win_rate,control_win_rate,linear_affected_coef,did_label_adjusted,did_label_equal,n_labels_adjusted,did_minus_decoy,did_label_adjusted_minus_decoy,linear_affected_coef_minus_decoy
phase0_tf_bbbp_stereo_changed_aff82_d20_lowtrain05,bbbp,random_20x,random,20,443,204,82,122,0.07165101043334822,0.032691996483529204,0.038959013949819016,0.6707317073170732,0.9016393442622951,0.01769192198282732,0.09531585910995626,0.11391631388559291,2,-0.024516660751389863,0.026076180446020128,0.04066653004211729
phase0_tf_bbbp_stereo_changed_aff82_d20_lowtrain05,bbbp,random_20x,random,20,467,204,82,122,-0.0351514080312194,-0.04107901702833469,0.005927608997115294,0.36585365853658536,0.18032786885245902,0.020137853524999194,0.023505035030992136,0.013252175375163211,2,-0.0322191667471562,-0.033985390628674936,-0.009765369753777842
phase0_tf_bbbp_stereo_changed_aff82_d20_lowtrain05,bbbp,random_20x,random,20,491,204,82,122,-0.05956064096492966,-0.07412848160525815,0.014567840640328483,0.2682926829268293,0.20491803278688525,-0.014985878927872287,-0.0390929441977532,-0.05033277994138222,2,-0.014259637790363058,-0.009677327112057262,-0.005391782636514075
phase0_tf_bbbp_stereo_changed_aff82_d20_lowtrain05,bbbp,random_20x,random,20,509,204,82,122,0.025095465842907023,0.053016583847462155,-0.027921118004555132,0.34146341463414637,0.30327868852459017,-0.04034740071268997,-0.12140165846547046,-0.13800977724974248,2,-0.021012407145509483,-0.07591024533475849,-0.0001144271414762893
phase0_tf_bbbp_stereo_changed_aff82_d20_lowtrain05,bbbp,random_20x,random,20,541,204,82,122,0.04536845898482858,-0.002865162479584336,0.048233621464412915,0.6707317073170732,0.47540983606557374,0.01973717178237383,0.03115100557423704,0.03431218579389132,2,-0.001968250237181876,0.02430545411045825,0.004102604180325972
phase0_tf_bbbp_stereo_changed_aff82_d20_lowtrain05,bbbp,random_20x,random,20,563,204,82,122,0.11986829794761611,0.00263943512481256,0.11722886282280355,0.6829268292682927,0.6639344262295082,0.0482978636151884,0.1088123321825747,0.12251589614747956,2,0.020571320118462258,0.03331637104280727,-0.007468034135801327
phase0_tf_bbbp_stereo_changed_aff82_d20_lowtrain05,bbbp,stereo_20x,stereo,20,307,204,82,122,-0.0009435994050851672,-0.008214777732481726,0.007271178327396558,0.5,0.3770491803278688,0.016590893514704948,0.01294202543657442,0.011868313387333298,2,0.0009007306232518214,0.03755381880142209,0.018150238953291133
phase0_tf_bbbp_stereo_changed_aff82_d20_lowtrain05,bbbp,stereo_20x,stereo,20,331,204,82,122,-0.012718066936585951,0.0012948607079318276,-0.014012927644517779,0.4634146341463415,0.47540983606557374,-0.005797372659338149,-0.014975963390300814,-0.01751170497679527,2,0.006916098761372636,0.03723319799963495,0.00732848678447752
phase0_tf_bbbp_stereo_changed_aff82_d20_lowtrain05,bbbp,stereo_20x,stereo,20,353,204,82,122,0.05273269784704941,-0.00031017716668669594,0.053042875013736106,0.7682926829268293,0.6475409836065574,0.010196280154374612,0.016571222829267002,0.017406072485108934,2,0.15626369413883628,0.02602924992924413,0.0144080734046214
phase0_tf_bbbp_stereo_changed_aff82_d20_lowtrain05,bbbp,stereo_20x,stereo,20,379,204,82,122,-0.029393580810325903,-0.016285744968984953,-0.01310783584134095,0.36585365853658536,0.12295081967213115,-0.006749740659359932,-0.03084649227928515,-0.03740835021098161,2,-0.018761411088793253,-0.02814063794101423,-0.0026581827886334106
phase0_tf_bbbp_stereo_changed_aff82_d20_lowtrain05,bbbp,stereo_20x,stereo,20,401,204,82,122,0.01719315890677092,0.027673397625445354,-0.010480238718674435,0.6097560975609756,0.860655737704918,-0.006593650471945323,0.08747856993763722,0.11094515079600872,2,0.012729097938225388,0.10207771456126513,0.052949425518888205
phase0_tf_bbbp_stereo_changed_aff82_d20_lowtrain05,bbbp,stereo_20x,stereo,20,421,204,82,122,-0.06814798730902555,-0.04280935633988654,-0.025338630969139006,0.23170731707317074,0.20491803278688525,-0.0025908663530790355,0.05350298150831452,0.0632021914288369,2,0.01891556323939017,0.025788189226545317,0.0013115044644501639
phase0_tf_bbbp_stereo_changed_aff82_d20_lowtrain05,bbbp,stereo_20x,stereo,20,443,204,82,122,0.03583632046129645,0.004646884124787129,0.03118943633650932,0.5365853658536586,0.7131147540983607,0.0015253099264679326,0.04449292752514567,0.05462408310731446,2,-0.03228623836469956,-0.024746751138790456,0.024499917985757902
phase0_tf_bbbp_stereo_changed_aff82_d20_lowtrain05,bbbp,stereo_20x,stereo,20,467,204,82,122,-0.05302104090408581,-0.032589383438595985,-0.020431657465489826,0.2682926829268293,0.22950819672131148,-0.01368295718939877,0.009685798646250273,0.0073667739441202786,2,-0.05857843320976132,-0.0478046270134168,-0.043586180468175806
phase0_tf_bbbp_stereo_changed_aff82_d20_lowtrain05,bbbp,stereo_20x,stereo,20,491,204,82,122,-0.0205149380263032,-0.04134577918858802,0.02083084116228482,0.4024390243902439,0.2540983606557377,0.028680751896893064,0.05249924570423909,0.05431875695710643,2,-0.007996637268406721,0.08191486278993503,0.038274848188251276
phase0_tf_bbbp_stereo_changed_aff82_d20_lowtrain05,bbbp,stereo_20x,stereo,20,509,204,82,122,0.04838915459993409,0.041652382885823486,0.0067367717141106065,0.4634146341463415,0.48360655737704916,0.01557340244477666,-0.07979346433460316,-0.0996404331355449,2,0.013645482573156257,-0.03430205120389119,0.05580637601599034
phase0_tf_bbbp_stereo_changed_aff82_d20_lowtrain05,bbbp,stereo_20x,stereo,20,541,204,82,122,0.04810838019702493,0.015542274737944367,0.03256610545908056,0.6951219512195121,0.7540983606557377,0.01707095145645493,0.04776072640630023,0.056232730544536064,2,-0.017635766242514228,0.04091517494252145,0.0014363838544070723
phase0_tf_bbbp_stereo_changed_aff82_d20_lowtrain05,bbbp,stereo_20x,stereo,20,563,204,82,122,0.10326675689075052,0.0189924032778525,0.08427435361289802,0.7317073170731707,0.7213114754098361,0.024689899188315823,0.07300161118553751,0.0863576150417161,2,-0.012383189091443272,-0.002494349954229924,-0.0310759985626739
phase0_tf_bbbp_stereo_changed_aff82_d20_lowtrain05,bbbp,stereo_20x,stereo,20,601,204,82,122,-0.012282064956862758,0.006676856367314445,-0.018958921324177203,0.4634146341463415,0.819672131147541,0.010873150515502278,0.006656555702575314,0.005196295389379293,2,0.028500976603253278,-0.008208923253828897,0.0016354877788286037
phase0_tf_bbbp_stereo_changed_aff82_d20_lowtrain05,bbbp,stereo_20x,stereo,20,631,204,82,122,-0.0787714712049176,-0.005855762979901237,-0.07291570822501636,0.2682926829268293,0.32786885245901637,-0.026816599858287438,-0.08008652836936528,-0.08788183473354169,2,-0.023278761023535613,0.02204566428689765,0.010109729667010944
phase0_tf_bbbp_stereo_changed_aff82_d20_lowtrain05,bbbp,stereo_20x,stereo,20,653,204,82,122,0.014818117022514338,-0.0026037416375074133,0.01742185866002175,0.6219512195121951,0.4016393442622951,-0.01099430506789234,-0.011696827637151476,-0.011588536767243819,2,0.007478345230203869,-0.0196877865730637,-0.026776079573766858
phase0_tf_bbbp_stereo_changed_aff82_d20_lowtrain05,bbbp,stereo_20x,stereo,20,677,204,82,122,-0.005482601955896477,-0.006091732043223301,0.000609130087326824,0.43902439024390244,0.27049180327868855,-7.638111915760082e-05,-0.004665908051953453,-0.006064608705835447,2,-0.06361592134407928,-0.11040939690017933,-0.06367526942624081
phase0_tf_bbbp_stereo_changed_aff82_d20_lowtrain05,bbbp,stereo_20x,stereo,20,701,204,82,122,0.011721961063946164,0.00476467952926139,0.006957281534684774,0.45121951219512196,0.5655737704918032,0.014169524807482736,0.0038416863498962855,2.3534843520675586e-05,2,-0.05992497814508652,-0.03445968439655224,-0.03477697681536708
phase0_tf_bbbp_stereo_changed_aff82_d20_lowtrain05,bbbp,stereo_20x,stereo,20,733,204,82,122,0.05063291748122471,0.036688711417869474,0.013944206063355238,0.7195121951219512,0.8442622950819673,-0.05169895950054082,-0.007181028546028913,0.0021581085880599538,2,0.002478978042153768,0.03567584443366579,-0.031248220828050614
phase0_tf_bbbp_stereo_changed_aff82_d20_lowtrain05,bbbp,stereo_20x,stereo,20,757,204,82,122,0.049094527414659174,0.027788766888809994,0.02130576052584918,0.5853658536585366,0.8934426229508197,0.00764505616053468,0.09339495971991629,0.11166473316161432,2,0.02761264688006546,0.07598598723637771,-0.0007963674151654984
phase0_tf_bbbp_stereo_changed_aff82_d20_lowtrain05,bbbp,stereo_20x,stereo,20,787,204,82,122,0.008988186399020798,0.005521489933255263,0.0034666964657655347,0.43902439024390244,0.36885245901639346,-0.0037839321377655943,-0.03515062148869313,-0.04211551743533351,2,-0.03517925932143972,-0.14156942623471241,-0.07158246386640102
phase0_tf_bbbp_stereo_changed_aff82_d20_lowtrain05,bbbp,stereo_20x,stereo,20,811,204,82,122,0.01994682705347858,-0.018777286053680987,0.03872411310715956,0.6097560975609756,0.28688524590163933,0.08582609147679393,0.1714541437930351,0.1839359206567261,2,0.037127531232272845,0.1851239958007084,0.11048758818911894
phase0_tf_bbbp_stereo_changed_aff82_d20_lowtrain05,bbbp,stereo_20x,stereo,20,839,204,82,122,0.010293517806907975,0.005732438664455881,0.0045610791424520935,0.47560975609756095,0.5983606557377049,-0.014334397428092987,-0.008498470689234096,-0.00691460665165892,2,-0.026277046451797164,-0.004265236821099976,0.0038732000847883814
phase0_tf_bbbp_stereo_changed_aff82_d20_lowtrain05,bbbp,stereo_20x,stereo,20,863,204,82,122,-0.01988297319266854,-0.001440783382439228,-0.018442189810229312,0.2682926829268293,0.4672131147540984,-0.017307369916571072,-0.026343178141694186,-0.028151397146904938,2,0.01532544119388568,0.020952503797815,-0.008227823954551919
phase0_tf_bbbp_stereo_changed_aff82_d20_lowtrain05,bbbp,stereo_20x,stereo,20,887,204,82,122,-0.041885776899573283,0.08137125715796577,-0.12325703405753904,0.4024390243902439,0.7459016393442623,-0.10404253142655011,-0.1294284863986009,-0.13175438763258496,2,-0.07347003067294355,-0.08898276485143411,-0.10979553831784074
